title,availability,price,category,shop,weight
Шкаф для одежды МД-501.01 (ШМО-МСК),1,14 470 руб.,Медицинская мебель,Железная мебель,['65']
Шкаф медицинский HILFE МД 1 1760/SS,1,15 340 руб.,Медицинская мебель,Железная мебель,['32.3']
Шкаф для уборочного инвентаря МСК-649.02 (ШМм-МСК-649.02),1,26 600 руб.,Медицинская мебель,Железная мебель,['62']
Медицинский стеллаж СТМ MS 185/100х30/4,1,4 020 руб.,Медицинская мебель,Железная мебель,['13.4']
Медицинский стеллаж СТМ MS 185/100х60/4,1,5 900 руб.,Медицинская мебель,Железная мебель,['21.3']
Шкаф для палат MF LH-2 1880 белый,1,10 840 руб.,Медицинская мебель,Железная мебель,['67']
Картотечный шкаф МСК-831.04 (4 ящика),1,37 390 руб.,Медицинская мебель,Железная мебель,['57']
Шкаф медицинский МСК-5647.12 (ШМ-02) нерж.сталь,1,111 610 руб.,Медицинская мебель,Железная мебель,['48']
Шкаф медицинский М1 175.60.40 М,1,16 210 руб.,Медицинская мебель,Железная мебель,['31']
Шкаф для белья,1,28 330 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-645.01 (ШМ-03) металл,1,28 310 руб.,Медицинская мебель,Железная мебель,['41']
Шкаф медицинский HILFE МД 1 1760/SG,1,15 340 руб.,Медицинская мебель,Железная мебель,['35.3']
Шкаф медицинский 4Hospitals МСК-645.01-11 (ШМ-03),1,43 600 руб.,Медицинская мебель,Железная мебель,['48']
Шкаф для кабинета врача ШКВ-05,1,40 340 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для одежды МД-501.02 (ШМО-МСК),1,14 330 руб.,Медицинская мебель,Железная мебель,['55']
Шкаф медицинский ШМД-06,1,35 560 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-07,1,36 830 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМД-04,1,33 780 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для белья и одежды МД-507.01 (ШМБО-МСК),1,12 890 руб.,Медицинская мебель,Железная мебель,['50']
Шкаф материальный ШМ-03,1,26 800 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский 4Hospitals МСК-642.12 (ШМ-01),1,49 230 руб.,Медицинская мебель,Железная мебель,['42']
Шкаф для кабинета врача ШКВ-08,1,23 680 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-982.213 (ШМм-МСК),1,28 950 руб.,Медицинская мебель,Железная мебель,['60']
Шкаф медицинский 4Hospitals МСК-653.12 (ШМ-01),1,84 780 руб.,Медицинская мебель,Железная мебель,['63']
Шкаф медицинский ШМД-03,1,29 550 руб.,Медицинская мебель,Железная мебель,[]
Шкаф медицинский МСК-5646.12 (ШМ-01),1,82 500 руб.,Медицинская мебель,Железная мебель,['40']
Шкаф для белья и одежды МД-502 (ШМБО-МСК),1,17 140 руб.,Медицинская мебель,Железная мебель,['75']
Шкаф для белья и одежды МД-508.01 (ШМБО-МСК),1,12 530 руб.,Медицинская мебель,Железная мебель,['50']
Шкаф для белья и одежды МД-503.02 (ШМБО-МСК),1,17 350 руб.,Медицинская мебель,Железная мебель,['75']
Шкаф для одежды металлический разборный двухстворчатый на винтах МСК-981.232,1,30 000 руб.,Медицинская мебель,Железная мебель,[]
Шкаф для документов и справочной литературы ШД-04,1,33 510 руб.,Медицинская мебель,Железная мебель,[]
